"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"1",635,2022,"Ally Taylor",1,1,1,0,0,0,1,0,0,0,0,0,"1.000",1,"3.000"
"2",671,2022,"Meghan Schorman",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000"
"3",434,2022,"Kelsee Mortimer",3,3,0,1,0,3,0,0,0,0,0,1,"1.000",1,"2.667"
"4",635,2022,"Jess Forte",3,2,1,0,1,1,1,0,0,1,0,0,"0.667",0.667,"2.667"
"5",70,2022,"Breanna Harvey",3,2,0,0,1,1,1,0,1,1,0,0,"0.667",0.75,"2.417"
"6",356,2022,"Alivia Rymer",3,3,1,0,0,0,0,0,0,0,0,0,"1.000",1,"2.333"
"7",5,2022,"Lexie Petrof",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"8",70,2022,"Brittany Brewer",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"9",108,2022,"Sarah Reineman",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000"
"10",149,2022,"Nicolette Picone",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000"
"11",251,2022,"Katie Grissom",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"12",331,2022,"Andrea Scali",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"13",406,2022,"Emily Barras",1,1,0,0,0,0,1,0,0,0,0,1,"1.000",1,"2.000"
"14",459,2022,"Maria Nunez",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"15",497,2022,"Shelby Mchughes",2,2,0,0,0,1,5,0,0,0,2,1,"1.000",1,"2.000"
"16",587,2022,"Gillian Walsh",1,1,0,0,0,1,2,1,0,0,0,0,"1.000",1,"2.000"
"17",609,2022,"Grace Kmak",1,1,0,0,0,0,11,0,0,0,0,1,"1.000",1,"2.000"
"18",651,2022,"Antoinette Hill",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000"
"19",720,2022,"Anaya Carter",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"20",720,2022,"Ayriana Stoneback",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"21",1004,2022,"Jorde Chartrand",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"22",428,2022,"Nani Valencia",4,2,0,0,1,2,2,3,0,0,0,0,"0.500",0.714,"1.964"
"23",513,2022,"Rachel Allen",6,3,2,0,1,3,1,0,1,1,0,0,"0.500",0.571,"1.904"
"24",522,2022,"Jocelyn Alo",154,81,12,0,32,79,80,51,8,14,2,3,"0.526",0.651,"1.878"
"25",473,2022,"Savannah Braun",4,2,0,0,1,4,2,1,0,1,0,0,"0.500",0.6,"1.850"
"26",487,2022,"Kyrsten Darrough",3,2,1,0,0,1,5,0,2,1,3,0,"0.667",0.8,"1.800"
"27",676,2022,"Shaylon Govan",37,19,1,1,7,16,15,10,0,2,1,0,"0.514",0.617,"1.779"
"28",272,2022,"Sarah Serrano",3,2,1,0,0,0,8,1,0,1,0,2,"0.667",0.75,"1.750"
"29",692,2022,"Jessica Arrington",2,1,1,0,0,1,2,2,0,1,0,0,"0.500",0.75,"1.750"
"30",433,2022,"Makenna Segal",6,3,1,0,1,1,9,1,0,1,0,0,"0.500",0.571,"1.738"
"31",116,2022,"Emily Nicosia",5,2,1,0,1,4,2,1,0,3,0,0,"0.400",0.5,"1.700"
"32",219,2022,"Elyse Hickey",2,1,1,0,0,0,3,1,0,1,0,0,"0.500",0.667,"1.667"
"33",356,2022,"Kori Bullard",3,2,1,0,0,2,0,0,0,1,0,0,"0.667",0.667,"1.667"
"34",446,2022,"Ky'anah Lake",3,1,0,0,1,2,8,0,0,2,2,1,"0.333",0.333,"1.666"
"35",539,2022,"Rachelle Rivard",3,1,0,0,1,1,17,0,0,1,2,0,"0.333",0.333,"1.666"
"36",370,2022,"Madison Askins",5,2,1,0,1,2,1,1,0,2,0,0,"0.400",0.429,"1.629"
"37",649,2022,"Caelyn Christiancy",2,1,1,0,0,2,16,2,0,0,1,1,"0.500",0.6,"1.600"
"38",66,2022,"Hailey Hayes",6,3,1,1,0,4,2,1,0,0,0,0,"0.500",0.571,"1.571"
"39",28,2022,"Cydney Sanders",144,61,14,0,21,62,53,45,3,13,4,1,"0.424",0.562,"1.520"
"40",782,2022,"Addison Barnard",166,66,7,0,33,84,64,22,4,35,25,3,"0.398",0.469,"1.505"
"41",102,2022,"Haley Hanson",2,1,1,0,0,0,1,0,0,0,0,0,"0.500",0.5,"1.500"
"42",270,2022,"Camryn Thompson",2,1,1,0,0,1,1,0,0,0,0,0,"0.500",0.5,"1.500"
"43",355,2022,"Ava Cino",2,1,1,0,0,0,1,0,0,0,0,0,"0.500",0.5,"1.500"
"44",756,2022,"Baylee Klingler",173,75,13,2,24,71,46,23,3,6,3,2,"0.434",0.5,"1.448"
"45",414,2022,"Karli Spaid",189,78,10,2,28,70,67,27,3,39,13,4,"0.413",0.489,"1.420"
"46",6,2022,"Gabriella Belyeu",3,2,0,0,0,1,2,1,0,1,1,0,"0.667",0.75,"1.417"
"47",28,2022,"Yannira Acuna",147,63,19,1,14,43,63,28,20,18,5,0,"0.429",0.558,"1.415"
"48",110,2022,"Aaliyah Jordan",22,9,3,0,3,9,5,1,1,2,0,0,"0.409",0.458,"1.413"
"49",473,2022,"Andrea Howard",144,58,8,3,18,57,40,43,1,10,2,2,"0.403",0.531,"1.406"
"50",522,2022,"Tiare Jennings",170,67,9,1,25,79,75,37,1,12,8,1,"0.394",0.505,"1.405"
"51",388,2022,"Aly Harrell",142,62,11,0,13,38,41,44,17,11,1,0,"0.437",0.606,"1.395"
"52",77,2022,"Violet Zavodnik",150,61,13,2,19,59,49,22,8,33,13,1,"0.407",0.489,"1.389"
"53",782,2022,"Sydney Mckinney",182,93,12,5,12,35,67,16,3,14,12,3,"0.511",0.557,"1.387"
"54",51,2022,"Katie Ellington",8,4,0,0,1,3,1,0,0,1,0,0,"0.500",0.5,"1.375"
"55",430,2022,"Mia Davidson",159,57,9,0,22,40,47,45,21,30,0,1,"0.358",0.542,"1.372"
"56",522,2022,"Grace Lyons",166,69,7,2,22,65,62,21,6,11,9,1,"0.416",0.487,"1.367"
"57",169,2022,"Kailey Wilson",117,51,11,0,11,32,21,24,4,15,0,0,"0.436",0.541,"1.353"
"58",513,2022,"Karina Gaskins",138,59,12,0,13,61,29,40,2,20,0,1,"0.428",0.555,"1.352"
"59",31,2022,"Danielle Gibson",182,81,14,0,20,70,54,16,5,18,0,0,"0.445",0.495,"1.347"
"60",26172,2022,"Pal Egan",155,66,17,2,12,36,48,38,7,20,27,6,"0.426",0.552,"1.346"
"61",261,2022,"Janecia King",7,4,1,0,0,6,1,1,0,0,4,0,"0.571",0.625,"1.339"
"62",47,2022,"Faith Hensley",154,61,7,3,17,39,51,37,5,27,13,3,"0.396",0.523,"1.335"
"63",31,2022,"Linnie Malkin",146,56,5,0,22,68,32,16,6,24,0,1,"0.384",0.464,"1.334"
"64",193,2022,"Jala Wright",3,2,0,0,0,0,1,0,0,0,0,0,"0.667",0.667,"1.334"
"65",201,2022,"Carson Cole",3,2,0,0,0,0,6,0,0,0,0,1,"0.667",0.667,"1.334"
"66",356,2022,"Alex Miller",3,2,0,0,0,1,1,0,0,1,0,0,"0.667",0.667,"1.334"
"67",2743,2022,"Alicia Lopez",3,2,0,0,0,1,1,0,0,0,0,0,"0.667",0.667,"1.334"
"68",1395,2022,"Georgia Capell",158,63,12,1,18,50,47,21,12,29,9,0,"0.399",0.497,"1.326"
"69",509,2022,"Rachel Lewis",167,59,7,2,23,62,67,45,5,34,26,3,"0.353",0.493,"1.325"
"70",697,2022,"Haley Lee",166,68,15,0,15,45,54,49,1,27,6,1,"0.410",0.546,"1.317"
"71",248,2022,"Madi Williams",5,3,0,0,0,1,2,1,1,1,2,1,"0.600",0.714,"1.314"
"72",334,2022,"Erin Coffel",157,66,11,1,17,59,41,20,3,17,6,3,"0.420",0.484,"1.312"
"73",458,2022,"Bailey Vannoy",192,74,12,3,24,58,60,25,3,22,7,2,"0.385",0.457,"1.311"
"74",522,2022,"Jayda Coleman",133,59,9,1,8,39,67,49,5,14,12,2,"0.444",0.601,"1.308"
"75",1320,2022,"Morgan Hess",132,50,14,0,16,50,36,22,0,21,1,2,"0.379",0.45,"1.298"
